date,num,ac_num,rate
2012-02-01,1576,10676,0
2012-03-01,4063,12252,1.578045685
2012-04-01,29488,16315,6.257691361
2012-05-01,11536,45803,-0.608790016
2012-06-01,25629,57339,1.221653953
2012-07-01,29779,82968,0.161925943
2012-08-01,63656,112747,1.137613755
2012-09-01,51320,176403,-0.19379163
2012-10-01,50461,227723,-0.016738114
2012-11-01,100573,278184,0.993083768
2012-12-01,88711,378757,-0.11794418
2013-01-01,127382,467468,0.435921137
2013-02-01,139999,594850,0.099048531
2013-03-01,221366,734849,0.581197009
2013-04-01,240979,956215,0.088599875
2013-05-01,177844,1197194,-0.261993784
2013-06-01,132390,1375038,-0.255583545
2013-07-01,135882,1507428,0.026376615
2013-08-01,129192,1643310,-0.049233894
2013-09-01,168117,1772502,0.301295746
2013-10-01,101168,1940619,-0.398228615
2013-11-01,120376,2041787,0.189862407
2013-12-01,81606,2162163,-0.322074168
2014-01-01,95138,2243769,0.165821141
2014-02-01,75321,2338907,-0.208297421
2014-03-01,94319,2414228,0.252227135
2014-04-01,90743,2508547,-0.037913888
2014-05-01,79441,2599290,-0.124549552
2014-06-01,78985,2678731,-0.005740109
2014-07-01,62727,2757716,-0.205836551
2014-08-01,52203,2820443,-0.167774642
2014-09-01,60774,2872646,0.164185966
2014-10-01,16377,2933420,-0.730526212
2014-11-01,12740,2949797,-0.222079746
2014-12-01,18655,2962537,0.464285714
2015-01-01,8751,2981192,-0.530903243
2015-02-01,17114,2989943,0.95566221
2015-03-01,201640,3007057,10.78216665
2015-04-01,22304,3208697,-0.889387026
2015-05-01,568,3231001,-0.974533716
2015-06-01,3680,3231569,5.478873239
2015-07-01,30602,3235249,7.31576087
2015-08-01,73767,3265851,1.410528724
2015-09-01,-42428,3339618,-1
2015-10-01,131491,0
2015-11-01,102869,0
2015-12-01,315188,0
2016-01-01,1766,0
2016-02-01,189956,0