date,num
2012-01,1500
2012-01,2749
2012-01,137
2012-01,6290
2012-01,185
2012-02,-157
2012-02,950
2012-02,389
2012-02,394
2012-02,1330
2012-03,192
2012-03,142
2012-03,30
2012-03,1186
2012-03,825
2012-03,1192
2012-03,496
2012-03,798
2012-04,2971
2012-04,15412
2012-04,172
2012-04,0
2012-04,1406
2012-04,370
2012-04,8019
2012-04,776
2012-04,362
2012-04,2554
2012-05,84
2012-05,596
2012-05,491
2012-05,326
2012-05,243
2012-05,326
2012-05,555
2012-05,842
2012-05,1221
2012-05,1197
2012-05,894
2012-05,965
2012-05,257
2012-05,872
2012-05,772
2012-05,693
2012-05,406
2012-05,450
2012-05,346
2012-05,1543
2012-06,1881
2012-06,1814
2012-06,1001
2012-06,333
2012-06,1801
2012-06,781
2012-06,394
2012-06,1124
2012-06,2026
2012-06,4365
2012-06,4729
2012-06,360
2012-06,456
2012-06,1683
2012-06,1494
2012-06,1387
2012-06,924
2012-07,1590
2012-07,2020
2012-07,1562
2012-07,722
2012-07,2495
2012-07,254
2012-07,3934
2012-07,389
2012-07,0
2012-07,579
2012-07,3167
2012-07,0
2012-07,7290
2012-07,237
2012-07,705
2012-07,1175
2012-07,1959
2012-07,277
2012-07,224
2012-07,1200
2012-07,1776
2012-08,923
2012-08,-167
2012-08,207
2012-08,487
2012-08,2536
2012-08,3263
2012-08,1304
2012-08,4248
2012-08,10370
2012-08,5173
2012-08,515
2012-08,961
2012-08,939
2012-08,9333
2012-08,5624
2012-08,320
2012-08,5164
2012-08,478
2012-08,5200
2012-08,1221
2012-08,2198
2012-08,3359
2012-08,5958
2012-09,592
2012-09,4964
2012-09,1326
2012-09,1787
2012-09,525
2012-09,3267
2012-09,524
2012-09,426
2012-09,789
2012-09,4416
2012-09,1838
2012-09,787
2012-09,1453
2012-09,1093
2012-09,1842
2012-09,1314
2012-09,5161
2012-09,3964
2012-09,282
2012-09,1832
2012-09,1182
2012-09,2342
2012-09,4954
2012-09,4660
2012-09,615
2012-10,1352
2012-10,1520
2012-10,1304
2012-10,6841
2012-10,2937
2012-10,3822
2012-10,869
2012-10,2583
2012-10,1099
2012-10,3525
2012-10,471
2012-10,3689
2012-10,1585
2012-10,5255
2012-10,1893
2012-10,302
2012-10,1708
2012-10,3445
2012-10,3515
2012-10,697
2012-10,902
2012-10,1147
2012-10,3450
2012-11,1238
2012-11,7625
2012-11,-43
2012-11,6088
2012-11,2372
2012-11,3428
2012-11,1738
2012-11,919
2012-11,-135
2012-11,28998
2012-11,1728
2012-11,4747
2012-11,27
2012-11,1538
2012-11,38
2012-11,6022
2012-11,7981
2012-11,1269
2012-11,4329
2012-11,2451
2012-11,1345
2012-11,323
2012-11,219
2012-11,7198
2012-11,2389
2012-11,4341
2012-11,2400
2012-11,1180
2012-12,30
2012-12,2498
2012-12,1830
2012-12,2979
2012-12,2577
2012-12,13820
2012-12,1175
2012-12,811
2012-12,1509
2012-12,3134
2012-12,4846
2012-12,2529
2012-12,3205
2012-12,2315
2012-12,2498
2012-12,4827
2012-12,2295
2012-12,3288
2012-12,12316
2012-12,2847
2012-12,275
2012-12,1793
2012-12,3448
2012-12,24
2012-12,1983
2012-12,4659
2012-12,2842
2012-12,1395
2012-12,963
2012-12,2184
2013-01,3686
2013-01,4446
2013-01,1865
2013-01,1440
2013-01,173
2013-01,8936
2013-01,1860
2013-01,4628
2013-01,912
2013-01,2047
2013-01,1350
2013-01,-1
2013-01,971
2013-01,6723
2013-01,7092
2013-01,6033
2013-01,3688
2013-01,3476
2013-01,6585
2013-01,6244
2013-01,7543
2013-01,6215
2013-01,-11
2013-01,1718
2013-01,20
2013-01,11209
2013-01,15493
2013-01,5749
2013-01,7292
2013-01,5408
2013-02,1265
2013-02,232
2013-02,5436
2013-02,12510
2013-02,5643
2013-02,12570
2013-02,6105
2013-02,2387
2013-02,1093
2013-02,8185
2013-02,5502
2013-02,6143
2013-02,5959
2013-02,4213
2013-02,3449
2013-02,685
2013-02,14315
2013-02,5307
2013-02,6112
2013-02,6398
2013-02,9516
2013-02,2279
2013-02,98
2013-02,7376
2013-02,2716
2013-02,4505
2013-02,1623
2013-03,2204
2013-03,3011
2013-03,1907
2013-03,4600
2013-03,2305
2013-03,2013
2013-03,2403
2013-03,43747
2013-03,863
2013-03,53589
2013-03,5270
2013-03,10120
2013-03,3016
2013-03,4359
2013-03,10934
2013-03,4007
2013-03,3539
2013-03,4016
2013-03,2973
2013-03,11527
2013-03,-55
2013-03,2032
2013-03,21682
2013-03,6543
2013-03,7657
2013-03,5528
2013-03,1576
2013-03,503
2013-04,11298
2013-04,9014
2013-04,7435
2013-04,5130
2013-04,36796
2013-04,576
2013-04,7327
2013-04,8634
2013-04,6852
2013-04,7714
2013-04,7821
2013-04,5521
2013-04,-228
2013-04,4463
2013-04,11496
2013-04,8992
2013-04,6123
2013-04,9281
2013-04,8545
2013-04,7476
2013-04,32370
2013-04,8875
2013-04,8112
2013-04,6978
2013-04,4056
2013-04,10322
2013-04,10738
2013-05,541
2013-05,10956
2013-05,2768
2013-05,693
2013-05,4145
2013-05,3346
2013-05,6073
2013-05,-46228
2013-05,4670
2013-05,1762
2013-05,41079
2013-05,-75
2013-05,37686
2013-05,6241
2013-05,4284
2013-05,-38
2013-05,605
2013-05,12846
2013-05,14400
2013-05,7089
2013-05,11319
2013-05,3757
2013-05,983
2013-05,28629
2013-05,7371
2013-05,6662
2013-05,6280
2013-05,-771
2013-06,-13396
2013-06,6464
2013-06,14891
2013-06,6844
2013-06,2823
2013-06,2309
2013-06,13492
2013-06,-51
2013-06,8343
2013-06,5848
2013-06,3581
2013-06,2313
2013-06,13689
2013-06,5315
2013-06,4318
2013-06,10535
2013-06,1806
2013-06,4350
2013-06,5072
2013-06,6776
2013-06,19285
2013-06,5351
2013-06,2432
2013-06,2969
2013-07,3131
2013-07,7653
2013-07,5167
2013-07,4993
2013-07,3156
2013-07,11425
2013-07,3642
2013-07,8014
2013-07,-10772
2013-07,2648
2013-07,807
2013-07,7875
2013-07,7730
2013-07,2829
2013-07,19168
2013-07,3054
2013-07,2555
2013-07,390
2013-07,19973
2013-07,3910
2013-07,5630
2013-07,4322
2013-07,1822
2013-07,2457
2013-07,3971
2013-07,10332
2013-07,7088
2013-08,4455
2013-08,2132
2013-08,331
2013-08,10574
2013-08,-4372
2013-08,6724
2013-08,2714
2013-08,661
2013-08,1426
2013-08,2860
2013-08,5044
2013-08,5071
2013-08,2858
2013-08,2312
2013-08,-2259
2013-08,12382
2013-08,9469
2013-08,3388
2013-08,8857
2013-08,2428
2013-08,9
2013-08,1205
2013-08,7732
2013-08,26212
2013-08,7284
2013-08,9695
2013-08,4151
2013-09,5320
2013-09,15911
2013-09,10490
2013-09,2634
2013-09,3004
2013-09,2179
2013-09,2774
2013-09,8798
2013-09,3367
2013-09,39755
2013-09,3451
2013-09,29148
2013-09,1450
2013-09,6224
2013-09,12655
2013-09,3243
2013-09,8804
2013-09,-33
2013-09,897
2013-09,7677
2013-09,369
2013-09,2927
2013-10,12087
2013-10,12432
2013-10,10904
2013-10,2630
2013-10,2427
2013-10,6941
2013-10,7845
2013-10,3986
2013-10,5842
2013-10,4
2013-10,609
2013-10,6058
2013-10,2387
2013-10,3748
2013-10,2581
2013-10,734
2013-10,2506
2013-10,5977
2013-10,4584
2013-10,3673
2013-10,5719
2013-10,109
2013-10,5190
2013-10,2379
2013-10,-10184
2013-10,5909
2013-11,585
2013-11,5706
2013-11,2415
2013-11,37
2013-11,38351
2013-11,-1711
2013-11,-5140
2013-11,25187
2013-11,1578
2013-11,-12063
2013-11,5312
2013-11,3074
2013-11,3298
2013-11,2490
2013-11,6461
2013-11,2814
2013-11,5382
2013-11,5466
2013-11,3348
2013-11,143
2013-11,3111
2013-11,8026
2013-11,12492
2013-11,4014
2013-11,12926
2013-12,40
2013-12,6227
2013-12,3720
2013-12,3224
2013-12,2158
2013-12,3123
2013-12,4471
2013-12,3724
2013-12,2915
2013-12,3921
2013-12,2622
2013-12,906
2013-12,16523
2013-12,-9
2013-12,6968
2013-12,1774
2013-12,1350
2013-12,4423
2013-12,1341
2013-12,1248
2013-12,3354
2013-12,2110
2013-12,3086
2013-12,2387
2013-12,-26069
2014-01,-135
2014-01,2213
2014-01,1124
2014-01,5429
2014-01,6368
2014-01,2396
2014-01,2774
2014-01,3696
2014-01,4723
2014-01,1983
2014-01,449
2014-01,2997
2014-01,8785
2014-01,2227
2014-01,2178
2014-01,5718
2014-01,9510
2014-01,2629
2014-01,6714
2014-01,4538
2014-01,2079
2014-01,3304
2014-01,4687
2014-01,3255
2014-01,2719
2014-01,2778
2014-01,2170
2014-02,13703
2014-02,3434
2014-02,1623
2014-02,8341
2014-02,7678
2014-02,2012
2014-02,8800
2014-02,3164
2014-02,2425
2014-02,3122
2014-02,-23979
2014-02,1848
2014-02,9301
2014-02,-1761
2014-02,4320
2014-02,1921
2014-02,3991
2014-02,1891
2014-02,10326
2014-02,2870
2014-02,1331
2014-02,5608
2014-02,3352
2014-02,7209
2014-03,100
2014-03,2369
2014-03,2246
2014-03,7627
2014-03,1920
2014-03,2544
2014-03,12205
2014-03,2384
2014-03,3356
2014-03,2099
2014-03,1911
2014-03,2677
2014-03,7985
2014-03,1324
2014-03,2360
2014-03,2401
2014-03,3134
2014-03,2092
2014-03,2496
2014-03,3153
2014-03,3782
2014-03,2700
2014-03,2601
2014-03,1119
2014-03,17734
2014-03,1493
2014-04,2752
2014-04,2695
2014-04,2417
2014-04,15493
2014-04,-571
2014-04,4299
2014-04,2591
2014-04,2651
2014-04,1454
2014-04,2980
2014-04,33792
2014-04,2373
2014-04,-13467
2014-04,1732
2014-04,2653
2014-04,2751
2014-04,-91
2014-04,2737
2014-04,-408
2014-04,-181
2014-04,7969
2014-04,5599
2014-04,112
2014-04,2782
2014-04,5629
2014-04,21227
2014-05,-246
2014-05,2030
2014-05,-594
2014-05,2222
2014-05,1765
2014-05,2379
2014-05,2385
2014-05,2908
2014-05,6530
2014-05,3447
2014-05,3251
2014-05,2123
2014-05,6796
2014-05,1412
2014-05,7319
2014-05,5187
2014-05,1895
2014-05,-151
2014-05,13905
2014-05,-89
2014-05,7082
2014-05,68
2014-05,4421
2014-05,3396
2014-05,-3889
2014-06,4357
2014-06,1925
2014-06,1675
2014-06,-5304
2014-06,4363
2014-06,1908
2014-06,12083
2014-06,1806
2014-06,1843
2014-06,1786
2014-06,1957
2014-06,1689
2014-06,14788
2014-06,1914
2014-06,2426
2014-06,1478
2014-06,1885
2014-06,2161
2014-06,6492
2014-06,1674
2014-06,2063
2014-06,65
2014-06,5862
2014-06,2285
2014-06,5804
2014-06,2683
2014-07,7247
2014-07,202
2014-07,600
2014-07,5880
2014-07,3453
2014-07,332
2014-07,232
2014-07,4065
2014-07,2095
2014-07,2335
2014-07,5933
2014-07,2007
2014-07,-2178
2014-07,-398
2014-07,3732
2014-07,2311
2014-07,4802
2014-07,1988
2014-07,2061
2014-07,2440
2014-07,2118
2014-07,1602
2014-07,378
2014-07,6850
2014-07,2640
2014-07,4442
2014-08,1772
2014-08,-73
2014-08,2154
2014-08,1463
2014-08,1408
2014-08,1686
2014-08,1435
2014-08,8017
2014-08,2599
2014-08,1269
2014-08,-450
2014-08,2768
2014-08,317
2014-08,2424
2014-08,1932
2014-08,1463
2014-08,2192
2014-08,4130
2014-08,7921
2014-08,51
2014-08,2250
2014-08,294
2014-08,1848
2014-08,2407
2014-08,926
2014-08,119
2014-09,44
2014-09,7270
2014-09,1427
2014-09,230
2014-09,4359
2014-09,410
2014-09,-156
2014-09,-224
2014-09,10369
2014-09,3765
2014-09,2224
2014-09,35
2014-09,2869
2014-09,3601
2014-09,1438
2014-09,19
2014-09,1269
2014-09,1008
2014-09,1202
2014-09,1164
2014-09,699
2014-09,52
2014-09,17700
2014-09,-19331
2014-10,905
2014-10,15594
2014-10,624
2014-10,700
2014-10,836
2014-10,-6689
2014-10,-539
2014-10,72
2014-10,784
2014-10,628
2014-10,2353
2014-10,-322
2014-10,-1505
2014-10,-1631
2014-10,5066
2014-10,863
2014-10,117
2014-10,-842
2014-10,-637
2014-10,69319
2014-11,-174
2014-11,1071
2014-11,665
2014-11,522
2014-11,534
2014-11,773
2014-11,117
2014-11,26
2014-11,1311
2014-11,681
2014-11,1480
2014-11,1206
2014-11,3595
2014-11,797
2014-11,717
2014-11,67
2014-11,195
2014-11,1660
2014-11,243
2014-11,-1320
2014-11,-2485
2014-11,757
2014-11,302
2014-11,98032
2014-12,-156
2014-12,-2559
2014-12,291
2014-12,569
2014-12,1301
2014-12,1826
2014-12,256
2014-12,262
2014-12,684
2014-12,339
2014-12,-149
2014-12,4323
2014-12,583
2014-12,1122
2014-12,1864
2014-12,0
2014-12,2211
2014-12,1229
2014-12,396
2014-12,517
2014-12,0
2014-12,3301
2014-12,445
2014-12,495436
2015-01,506
2015-01,473
2015-01,-666
2015-01,1036
2015-01,137
2015-01,472
2015-01,-1495
2015-01,13
2015-01,-73
2015-01,4733
2015-01,118
2015-01,-25
2015-01,-335
2015-01,128
2015-01,2517
2015-01,145
2015-01,255
2015-01,812
2015-01,3125
2015-02,846
2015-02,1038
2015-02,847
2015-02,-1841
2015-02,-894
2015-02,-2791
2015-02,880
2015-02,881
2015-02,676
2015-02,594
2015-02,984
2015-02,1209
2015-02,6881
2015-02,968
2015-02,856
2015-02,799
2015-02,584
2015-02,474
2015-02,1027
2015-02,917
2015-02,158
2015-02,1567
2015-02,454
2015-02,2263
2015-03,461
2015-03,505
2015-03,481
2015-03,1075
2015-03,677
2015-03,146324
2015-03,188
2015-03,836
2015-03,1142
2015-03,107
2015-03,1373
2015-03,20407
2015-03,2526
2015-03,630
2015-03,-1936
2015-03,915
2015-03,21481
2015-03,651
2015-03,846
2015-03,78
2015-03,1026
2015-03,1391
2015-03,360
2015-03,96
2015-03,4340
2015-04,528
2015-04,529
2015-04,429
2015-04,1270
2015-04,1628
2015-04,531
2015-04,17146
2015-04,243
2015-04,1454
2015-05,300
2015-05,506
2015-05,-673
2015-05,-1914
2015-05,-164
2015-05,1515
2015-05,125
2015-05,873
2015-05,1063
2015-06,-8637
2015-06,11349
2015-06,968
2015-06,160
2015-07,-6310
2015-07,-1937
2015-07,32720
2015-07,1773
2015-07,191
2015-08,971
2015-08,-1282
2015-08,125
2015-08,-979
2015-08,74932
2015-08,-945
2015-09,21
2015-09,-960
2015-09,-379
2015-09,-1151
2015-09,-35603
2015-10,2717
2015-10,133291
2015-10,-712
2015-10,-1767
2015-10,1452
2015-10,-451
2015-10,-3039
2015-11,1149
2015-11,109003
2015-11,-369
2015-11,2868
2015-11,-238
2015-11,-9544
2015-12,-882
2015-12,110607
2015-12,704
2015-12,204759
2016-01,380
2016-01,1858
2016-01,-472
2016-02,1255
2016-02,117525
2016-02,2535
2016-02,57629
2016-03,28948
2016-03,-142
2016-03,-3664
2016-03,-7131
2016-04,2593
2016-04,33351
2016-04,4235
2016-04,1248
2016-04,1292
2016-05,722
2016-05,-1495
2016-05,8246
2016-05,-3452
2016-05,-2039
2016-06,4103
2016-06,-1418
2016-06,-4171
2016-06,-5476
2016-06,-14046
2016-07,2216
2016-07,-334
2016-07,-4058
2016-07,-2257
2016-08,104
2016-08,-4049
2016-08,-1005
2016-08,2043
2016-08,-12558
2016-09,-208
2016-09,410
2016-09,6675
2016-09,-25023
2016-10,20041
2016-10,-1035
2016-10,370
2016-11,10804
2016-11,468
2016-12,-429
2016-12,26267
2016-12,271
2016-12,23864
2016-12,-5258
2017-01,5253
2017-01,-276
2017-01,40337
2017-01,97
2017-01,1578
2017-02,399
2017-02,41665
2017-02,13923