date,event,group,value
2011-04-01,massacre,IS,0
2011-04-01,air_strike,IS,0
2011-04-01,battle,IS,0
2011-04-01,barral_bomb,IS,0
2011-04-01,shelling,IS,0
2011-04-01,chemical,IS,0
2011-04-01,massacre,IC,0
2011-04-01,air_strike,IC,0
2011-04-01,battle,IC,0
2011-04-01,barral_bomb,IC,0
2011-04-01,shelling,IC,0
2011-04-01,chemical,IC,0
2011-04-01,massacre,RS,0
2011-04-01,air_strike,RS,0
2011-04-01,battle,RS,0
2011-04-01,barral_bomb,RS,0
2011-04-01,shelling,RS,0
2011-04-01,chemical,RS,0
2011-04-01,massacre,YPG,0
2011-04-01,air_strike,YPG,0
2011-04-01,battle,YPG,0
2011-04-01,barral_bomb,YPG,0
2011-04-01,shelling,YPG,0
2011-04-01,chemical,YPG,0
2011-04-01,massacre,HZB,0
2011-04-01,air_strike,HZB,0
2011-04-01,battle,HZB,0
2011-04-01,barral_bomb,HZB,0
2011-04-01,shelling,HZB,0
2011-04-01,chemical,HZB,0
2011-04-01,massacre,ASS,0
2011-04-01,air_strike,ASS,0
2011-04-01,battle,ASS,0
2011-04-01,barral_bomb,ASS,0
2011-04-01,shelling,ASS,2
2011-04-01,chemical,ASS,0
2011-05-01,massacre,IS,0
2011-05-01,air_strike,IS,0
2011-05-01,battle,IS,0
2011-05-01,barral_bomb,IS,0
2011-05-01,shelling,IS,0
2011-05-01,chemical,IS,0
2011-05-01,massacre,IC,0
2011-05-01,air_strike,IC,0
2011-05-01,battle,IC,0
2011-05-01,barral_bomb,IC,0
2011-05-01,shelling,IC,0
2011-05-01,chemical,IC,0
2011-05-01,massacre,RS,0
2011-05-01,air_strike,RS,0
2011-05-01,battle,RS,0
2011-05-01,barral_bomb,RS,0
2011-05-01,shelling,RS,0
2011-05-01,chemical,RS,0
2011-05-01,massacre,YPG,0
2011-05-01,air_strike,YPG,0
2011-05-01,battle,YPG,0
2011-05-01,barral_bomb,YPG,0
2011-05-01,shelling,YPG,0
2011-05-01,chemical,YPG,0
2011-05-01,massacre,HZB,0
2011-05-01,air_strike,HZB,0
2011-05-01,battle,HZB,0
2011-05-01,barral_bomb,HZB,0
2011-05-01,shelling,HZB,0
2011-05-01,chemical,HZB,0
2011-05-01,massacre,ASS,2
2011-05-01,air_strike,ASS,0
2011-05-01,battle,ASS,0
2011-05-01,barral_bomb,ASS,0
2011-05-01,shelling,ASS,0
2011-05-01,chemical,ASS,0
2011-06-01,massacre,IS,0
2011-06-01,air_strike,IS,0
2011-06-01,battle,IS,0
2011-06-01,barral_bomb,IS,0
2011-06-01,shelling,IS,0
2011-06-01,chemical,IS,0
2011-06-01,massacre,IC,0
2011-06-01,air_strike,IC,0
2011-06-01,battle,IC,0
2011-06-01,barral_bomb,IC,0
2011-06-01,shelling,IC,0
2011-06-01,chemical,IC,0
2011-06-01,massacre,RS,0
2011-06-01,air_strike,RS,0
2011-06-01,battle,RS,0
2011-06-01,barral_bomb,RS,0
2011-06-01,shelling,RS,0
2011-06-01,chemical,RS,0
2011-06-01,massacre,YPG,0
2011-06-01,air_strike,YPG,0
2011-06-01,battle,YPG,0
2011-06-01,barral_bomb,YPG,0
2011-06-01,shelling,YPG,0
2011-06-01,chemical,YPG,0
2011-06-01,massacre,HZB,0
2011-06-01,air_strike,HZB,0
2011-06-01,battle,HZB,0
2011-06-01,barral_bomb,HZB,0
2011-06-01,shelling,HZB,0
2011-06-01,chemical,HZB,0
2011-06-01,massacre,ASS,1
2011-06-01,air_strike,ASS,0
2011-06-01,battle,ASS,0
2011-06-01,barral_bomb,ASS,0
2011-06-01,shelling,ASS,0
2011-06-01,chemical,ASS,0
2011-07-01,massacre,IS,0
2011-07-01,air_strike,IS,0
2011-07-01,battle,IS,0
2011-07-01,barral_bomb,IS,0
2011-07-01,shelling,IS,0
2011-07-01,chemical,IS,0
2011-07-01,massacre,IC,0
2011-07-01,air_strike,IC,0
2011-07-01,battle,IC,0
2011-07-01,barral_bomb,IC,0
2011-07-01,shelling,IC,0
2011-07-01,chemical,IC,0
2011-07-01,massacre,RS,0
2011-07-01,air_strike,RS,0
2011-07-01,battle,RS,0
2011-07-01,barral_bomb,RS,0
2011-07-01,shelling,RS,0
2011-07-01,chemical,RS,0
2011-07-01,massacre,YPG,0
2011-07-01,air_strike,YPG,0
2011-07-01,battle,YPG,0
2011-07-01,barral_bomb,YPG,0
2011-07-01,shelling,YPG,0
2011-07-01,chemical,YPG,0
2011-07-01,massacre,HZB,0
2011-07-01,air_strike,HZB,0
2011-07-01,battle,HZB,0
2011-07-01,barral_bomb,HZB,0
2011-07-01,shelling,HZB,0
2011-07-01,chemical,HZB,0
2011-07-01,massacre,ASS,3
2011-07-01,air_strike,ASS,0
2011-07-01,battle,ASS,0
2011-07-01,barral_bomb,ASS,0
2011-07-01,shelling,ASS,0
2011-07-01,chemical,ASS,0
2011-08-01,massacre,IS,0
2011-08-01,air_strike,IS,0
2011-08-01,battle,IS,0
2011-08-01,barral_bomb,IS,0
2011-08-01,shelling,IS,0
2011-08-01,chemical,IS,0
2011-08-01,massacre,IC,0
2011-08-01,air_strike,IC,0
2011-08-01,battle,IC,0
2011-08-01,barral_bomb,IC,0
2011-08-01,shelling,IC,0
2011-08-01,chemical,IC,0
2011-08-01,massacre,RS,0
2011-08-01,air_strike,RS,0
2011-08-01,battle,RS,0
2011-08-01,barral_bomb,RS,0
2011-08-01,shelling,RS,0
2011-08-01,chemical,RS,0
2011-08-01,massacre,YPG,0
2011-08-01,air_strike,YPG,0
2011-08-01,battle,YPG,0
2011-08-01,barral_bomb,YPG,0
2011-08-01,shelling,YPG,0
2011-08-01,chemical,YPG,0
2011-08-01,massacre,HZB,0
2011-08-01,air_strike,HZB,0
2011-08-01,battle,HZB,0
2011-08-01,barral_bomb,HZB,0
2011-08-01,shelling,HZB,0
2011-08-01,chemical,HZB,0
2011-08-01,massacre,ASS,1
2011-08-01,air_strike,ASS,1
2011-08-01,battle,ASS,0
2011-08-01,barral_bomb,ASS,0
2011-08-01,shelling,ASS,0
2011-08-01,chemical,ASS,0
2011-09-01,massacre,IS,0
2011-09-01,air_strike,IS,0
2011-09-01,battle,IS,0
2011-09-01,barral_bomb,IS,0
2011-09-01,shelling,IS,0
2011-09-01,chemical,IS,0
2011-09-01,massacre,IC,0
2011-09-01,air_strike,IC,0
2011-09-01,battle,IC,0
2011-09-01,barral_bomb,IC,0
2011-09-01,shelling,IC,0
2011-09-01,chemical,IC,0
2011-09-01,massacre,RS,0
2011-09-01,air_strike,RS,0
2011-09-01,battle,RS,0
2011-09-01,barral_bomb,RS,0
2011-09-01,shelling,RS,0
2011-09-01,chemical,RS,0
2011-09-01,massacre,YPG,0
2011-09-01,air_strike,YPG,0
2011-09-01,battle,YPG,0
2011-09-01,barral_bomb,YPG,0
2011-09-01,shelling,YPG,0
2011-09-01,chemical,YPG,0
2011-09-01,massacre,HZB,0
2011-09-01,air_strike,HZB,0
2011-09-01,battle,HZB,0
2011-09-01,barral_bomb,HZB,0
2011-09-01,shelling,HZB,0
2011-09-01,chemical,HZB,0
2011-09-01,massacre,ASS,2
2011-09-01,air_strike,ASS,0
2011-09-01,battle,ASS,0
2011-09-01,barral_bomb,ASS,0
2011-09-01,shelling,ASS,0
2011-09-01,chemical,ASS,0
2011-10-01,massacre,IS,0
2011-10-01,air_strike,IS,0
2011-10-01,battle,IS,0
2011-10-01,barral_bomb,IS,0
2011-10-01,shelling,IS,0
2011-10-01,chemical,IS,0
2011-10-01,massacre,IC,0
2011-10-01,air_strike,IC,0
2011-10-01,battle,IC,0
2011-10-01,barral_bomb,IC,0
2011-10-01,shelling,IC,0
2011-10-01,chemical,IC,0
2011-10-01,massacre,RS,0
2011-10-01,air_strike,RS,0
2011-10-01,battle,RS,0
2011-10-01,barral_bomb,RS,0
2011-10-01,shelling,RS,0
2011-10-01,chemical,RS,0
2011-10-01,massacre,YPG,0
2011-10-01,air_strike,YPG,0
2011-10-01,battle,YPG,0
2011-10-01,barral_bomb,YPG,0
2011-10-01,shelling,YPG,0
2011-10-01,chemical,YPG,0
2011-10-01,massacre,HZB,0
2011-10-01,air_strike,HZB,0
2011-10-01,battle,HZB,0
2011-10-01,barral_bomb,HZB,0
2011-10-01,shelling,HZB,0
2011-10-01,chemical,HZB,0
2011-10-01,massacre,ASS,3
2011-10-01,air_strike,ASS,0
2011-10-01,battle,ASS,0
2011-10-01,barral_bomb,ASS,1
2011-10-01,shelling,ASS,0
2011-10-01,chemical,ASS,0
2011-11-01,massacre,IS,0
2011-11-01,air_strike,IS,0
2011-11-01,battle,IS,0
2011-11-01,barral_bomb,IS,0
2011-11-01,shelling,IS,0
2011-11-01,chemical,IS,0
2011-11-01,massacre,IC,0
2011-11-01,air_strike,IC,0
2011-11-01,battle,IC,0
2011-11-01,barral_bomb,IC,0
2011-11-01,shelling,IC,0
2011-11-01,chemical,IC,0
2011-11-01,massacre,RS,0
2011-11-01,air_strike,RS,0
2011-11-01,battle,RS,0
2011-11-01,barral_bomb,RS,0
2011-11-01,shelling,RS,0
2011-11-01,chemical,RS,0
2011-11-01,massacre,YPG,0
2011-11-01,air_strike,YPG,0
2011-11-01,battle,YPG,0
2011-11-01,barral_bomb,YPG,0
2011-11-01,shelling,YPG,0
2011-11-01,chemical,YPG,0
2011-11-01,massacre,HZB,0
2011-11-01,air_strike,HZB,0
2011-11-01,battle,HZB,0
2011-11-01,barral_bomb,HZB,0
2011-11-01,shelling,HZB,0
2011-11-01,chemical,HZB,0
2011-11-01,massacre,ASS,2
2011-11-01,air_strike,ASS,0
2011-11-01,battle,ASS,0
2011-11-01,barral_bomb,ASS,0
2011-11-01,shelling,ASS,1
2011-11-01,chemical,ASS,0
2011-12-01,massacre,IS,0
2011-12-01,air_strike,IS,0
2011-12-01,battle,IS,0
2011-12-01,barral_bomb,IS,0
2011-12-01,shelling,IS,0
2011-12-01,chemical,IS,0
2011-12-01,massacre,IC,0
2011-12-01,air_strike,IC,0
2011-12-01,battle,IC,0
2011-12-01,barral_bomb,IC,0
2011-12-01,shelling,IC,0
2011-12-01,chemical,IC,0
2011-12-01,massacre,RS,0
2011-12-01,air_strike,RS,0
2011-12-01,battle,RS,0
2011-12-01,barral_bomb,RS,0
2011-12-01,shelling,RS,0
2011-12-01,chemical,RS,0
2011-12-01,massacre,YPG,0
2011-12-01,air_strike,YPG,0
2011-12-01,battle,YPG,0
2011-12-01,barral_bomb,YPG,0
2011-12-01,shelling,YPG,0
2011-12-01,chemical,YPG,0
2011-12-01,massacre,HZB,0
2011-12-01,air_strike,HZB,0
2011-12-01,battle,HZB,0
2011-12-01,barral_bomb,HZB,0
2011-12-01,shelling,HZB,0
2011-12-01,chemical,HZB,0
2011-12-01,massacre,ASS,2
2011-12-01,air_strike,ASS,1
2011-12-01,battle,ASS,0
2011-12-01,barral_bomb,ASS,1
2011-12-01,shelling,ASS,0
2011-12-01,chemical,ASS,0
2012-01-01,massacre,IS,0
2012-01-01,air_strike,IS,0
2012-01-01,battle,IS,0
2012-01-01,barral_bomb,IS,0
2012-01-01,shelling,IS,0
2012-01-01,chemical,IS,0
2012-01-01,massacre,IC,0
2012-01-01,air_strike,IC,0
2012-01-01,battle,IC,0
2012-01-01,barral_bomb,IC,0
2012-01-01,shelling,IC,0
2012-01-01,chemical,IC,0
2012-01-01,massacre,RS,0
2012-01-01,air_strike,RS,0
2012-01-01,battle,RS,0
2012-01-01,barral_bomb,RS,0
2012-01-01,shelling,RS,0
2012-01-01,chemical,RS,0
2012-01-01,massacre,YPG,0
2012-01-01,air_strike,YPG,0
2012-01-01,battle,YPG,0
2012-01-01,barral_bomb,YPG,0
2012-01-01,shelling,YPG,0
2012-01-01,chemical,YPG,0
2012-01-01,massacre,HZB,0
2012-01-01,air_strike,HZB,0
2012-01-01,battle,HZB,0
2012-01-01,barral_bomb,HZB,0
2012-01-01,shelling,HZB,0
2012-01-01,chemical,HZB,0
2012-01-01,massacre,ASS,12
2012-01-01,air_strike,ASS,1
2012-01-01,battle,ASS,0
2012-01-01,barral_bomb,ASS,0
2012-01-01,shelling,ASS,4
2012-01-01,chemical,ASS,0
2012-02-01,massacre,IS,0
2012-02-01,air_strike,IS,0
2012-02-01,battle,IS,0
2012-02-01,barral_bomb,IS,0
2012-02-01,shelling,IS,0
2012-02-01,chemical,IS,0
2012-02-01,massacre,IC,0
2012-02-01,air_strike,IC,0
2012-02-01,battle,IC,0
2012-02-01,barral_bomb,IC,0
2012-02-01,shelling,IC,0
2012-02-01,chemical,IC,0
2012-02-01,massacre,RS,10
2012-02-01,air_strike,RS,1
2012-02-01,battle,RS,0
2012-02-01,barral_bomb,RS,0
2012-02-01,shelling,RS,1
2012-02-01,chemical,RS,0
2012-02-01,massacre,YPG,0
2012-02-01,air_strike,YPG,0
2012-02-01,battle,YPG,0
2012-02-01,barral_bomb,YPG,0
2012-02-01,shelling,YPG,0
2012-02-01,chemical,YPG,0
2012-02-01,massacre,HZB,0
2012-02-01,air_strike,HZB,0
2012-02-01,battle,HZB,0
2012-02-01,barral_bomb,HZB,0
2012-02-01,shelling,HZB,0
2012-02-01,chemical,HZB,0
2012-02-01,massacre,ASS,29
2012-02-01,air_strike,ASS,13
2012-02-01,battle,ASS,0
2012-02-01,barral_bomb,ASS,2
2012-02-01,shelling,ASS,9
2012-02-01,chemical,ASS,0
2012-03-01,massacre,IS,0
2012-03-01,air_strike,IS,0
2012-03-01,battle,IS,0
2012-03-01,barral_bomb,IS,0
2012-03-01,shelling,IS,0
2012-03-01,chemical,IS,0
2012-03-01,massacre,IC,0
2012-03-01,air_strike,IC,0
2012-03-01,battle,IC,0
2012-03-01,barral_bomb,IC,0
2012-03-01,shelling,IC,0
2012-03-01,chemical,IC,0
2012-03-01,massacre,RS,0
2012-03-01,air_strike,RS,0
2012-03-01,battle,RS,0
2012-03-01,barral_bomb,RS,0
2012-03-01,shelling,RS,0
2012-03-01,chemical,RS,0
2012-03-01,massacre,YPG,0
2012-03-01,air_strike,YPG,0
2012-03-01,battle,YPG,0
2012-03-01,barral_bomb,YPG,0
2012-03-01,shelling,YPG,0
2012-03-01,chemical,YPG,0
2012-03-01,massacre,HZB,0
2012-03-01,air_strike,HZB,0
2012-03-01,battle,HZB,0
2012-03-01,barral_bomb,HZB,0
2012-03-01,shelling,HZB,0
2012-03-01,chemical,HZB,0
2012-03-01,massacre,ASS,10
2012-03-01,air_strike,ASS,1
2012-03-01,battle,ASS,2
2012-03-01,barral_bomb,ASS,1
2012-03-01,shelling,ASS,4
2012-03-01,chemical,ASS,0
2012-04-01,massacre,IS,0
2012-04-01,air_strike,IS,0
2012-04-01,battle,IS,0
2012-04-01,barral_bomb,IS,0
2012-04-01,shelling,IS,0
2012-04-01,chemical,IS,0
2012-04-01,massacre,IC,0
2012-04-01,air_strike,IC,0
2012-04-01,battle,IC,0
2012-04-01,barral_bomb,IC,0
2012-04-01,shelling,IC,0
2012-04-01,chemical,IC,0
2012-04-01,massacre,RS,0
2012-04-01,air_strike,RS,0
2012-04-01,battle,RS,0
2012-04-01,barral_bomb,RS,0
2012-04-01,shelling,RS,0
2012-04-01,chemical,RS,0
2012-04-01,massacre,YPG,0
2012-04-01,air_strike,YPG,0
2012-04-01,battle,YPG,0
2012-04-01,barral_bomb,YPG,0
2012-04-01,shelling,YPG,0
2012-04-01,chemical,YPG,0
2012-04-01,massacre,HZB,0
2012-04-01,air_strike,HZB,0
2012-04-01,battle,HZB,0
2012-04-01,barral_bomb,HZB,0
2012-04-01,shelling,HZB,0
2012-04-01,chemical,HZB,0
2012-04-01,massacre,ASS,4
2012-04-01,air_strike,ASS,0
2012-04-01,battle,ASS,0
2012-04-01,barral_bomb,ASS,1
2012-04-01,shelling,ASS,2
2012-04-01,chemical,ASS,0
2012-05-01,massacre,IS,0
2012-05-01,air_strike,IS,0
2012-05-01,battle,IS,0
2012-05-01,barral_bomb,IS,0
2012-05-01,shelling,IS,0
2012-05-01,chemical,IS,0
2012-05-01,massacre,IC,0
2012-05-01,air_strike,IC,0
2012-05-01,battle,IC,0
2012-05-01,barral_bomb,IC,0
2012-05-01,shelling,IC,0
2012-05-01,chemical,IC,0
2012-05-01,massacre,RS,0
2012-05-01,air_strike,RS,0
2012-05-01,battle,RS,0
2012-05-01,barral_bomb,RS,0
2012-05-01,shelling,RS,0
2012-05-01,chemical,RS,0
2012-05-01,massacre,YPG,0
2012-05-01,air_strike,YPG,0
2012-05-01,battle,YPG,0
2012-05-01,barral_bomb,YPG,0
2012-05-01,shelling,YPG,0
2012-05-01,chemical,YPG,0
2012-05-01,massacre,HZB,0
2012-05-01,air_strike,HZB,0
2012-05-01,battle,HZB,0
2012-05-01,barral_bomb,HZB,0
2012-05-01,shelling,HZB,0
2012-05-01,chemical,HZB,0
2012-05-01,massacre,ASS,0
2012-05-01,air_strike,ASS,0
2012-05-01,battle,ASS,0
2012-05-01,barral_bomb,ASS,0
2012-05-01,shelling,ASS,0
2012-05-01,chemical,ASS,0
2012-06-01,massacre,IS,0
2012-06-01,air_strike,IS,0
2012-06-01,battle,IS,0
2012-06-01,barral_bomb,IS,0
2012-06-01,shelling,IS,0
2012-06-01,chemical,IS,0
2012-06-01,massacre,IC,0
2012-06-01,air_strike,IC,0
2012-06-01,battle,IC,0
2012-06-01,barral_bomb,IC,0
2012-06-01,shelling,IC,0
2012-06-01,chemical,IC,0
2012-06-01,massacre,RS,0
2012-06-01,air_strike,RS,1
2012-06-01,battle,RS,0
2012-06-01,barral_bomb,RS,0
2012-06-01,shelling,RS,1
2012-06-01,chemical,RS,0
2012-06-01,massacre,YPG,0
2012-06-01,air_strike,YPG,0
2012-06-01,battle,YPG,0
2012-06-01,barral_bomb,YPG,0
2012-06-01,shelling,YPG,0
2012-06-01,chemical,YPG,0
2012-06-01,massacre,HZB,0
2012-06-01,air_strike,HZB,0
2012-06-01,battle,HZB,0
2012-06-01,barral_bomb,HZB,0
2012-06-01,shelling,HZB,0
2012-06-01,chemical,HZB,0
2012-06-01,massacre,ASS,18
2012-06-01,air_strike,ASS,18
2012-06-01,battle,ASS,0
2012-06-01,barral_bomb,ASS,4
2012-06-01,shelling,ASS,20
2012-06-01,chemical,ASS,0
2012-07-01,massacre,IS,0
2012-07-01,air_strike,IS,0
2012-07-01,battle,IS,0
2012-07-01,barral_bomb,IS,0
2012-07-01,shelling,IS,0
2012-07-01,chemical,IS,0
2012-07-01,massacre,IC,0
2012-07-01,air_strike,IC,0
2012-07-01,battle,IC,0
2012-07-01,barral_bomb,IC,0
2012-07-01,shelling,IC,0
2012-07-01,chemical,IC,0
2012-07-01,massacre,RS,2
2012-07-01,air_strike,RS,0
2012-07-01,battle,RS,0
2012-07-01,barral_bomb,RS,1
2012-07-01,shelling,RS,2
2012-07-01,chemical,RS,0
2012-07-01,massacre,YPG,0
2012-07-01,air_strike,YPG,0
2012-07-01,battle,YPG,0
2012-07-01,barral_bomb,YPG,0
2012-07-01,shelling,YPG,0
2012-07-01,chemical,YPG,0
2012-07-01,massacre,HZB,0
2012-07-01,air_strike,HZB,0
2012-07-01,battle,HZB,0
2012-07-01,barral_bomb,HZB,0
2012-07-01,shelling,HZB,0
2012-07-01,chemical,HZB,0
2012-07-01,massacre,ASS,29
2012-07-01,air_strike,ASS,11
2012-07-01,battle,ASS,2
2012-07-01,barral_bomb,ASS,4
2012-07-01,shelling,ASS,39
2012-07-01,chemical,ASS,1
2012-08-01,massacre,IS,0
2012-08-01,air_strike,IS,0
2012-08-01,battle,IS,0
2012-08-01,barral_bomb,IS,0
2012-08-01,shelling,IS,0
2012-08-01,chemical,IS,0
2012-08-01,massacre,IC,0
2012-08-01,air_strike,IC,0
2012-08-01,battle,IC,0
2012-08-01,barral_bomb,IC,0
2012-08-01,shelling,IC,0
2012-08-01,chemical,IC,0
2012-08-01,massacre,RS,1
2012-08-01,air_strike,RS,0
2012-08-01,battle,RS,0
2012-08-01,barral_bomb,RS,0
2012-08-01,shelling,RS,1
2012-08-01,chemical,RS,0
2012-08-01,massacre,YPG,0
2012-08-01,air_strike,YPG,0
2012-08-01,battle,YPG,0
2012-08-01,barral_bomb,YPG,0
2012-08-01,shelling,YPG,0
2012-08-01,chemical,YPG,0
2012-08-01,massacre,HZB,0
2012-08-01,air_strike,HZB,0
2012-08-01,battle,HZB,0
2012-08-01,barral_bomb,HZB,0
2012-08-01,shelling,HZB,0
2012-08-01,chemical,HZB,0
2012-08-01,massacre,ASS,29
2012-08-01,air_strike,ASS,20
2012-08-01,battle,ASS,1
2012-08-01,barral_bomb,ASS,6
2012-08-01,shelling,ASS,50
2012-08-01,chemical,ASS,0
2012-09-01,massacre,IS,0
2012-09-01,air_strike,IS,0
2012-09-01,battle,IS,0
2012-09-01,barral_bomb,IS,0
2012-09-01,shelling,IS,0
2012-09-01,chemical,IS,0
2012-09-01,massacre,IC,0
2012-09-01,air_strike,IC,0
2012-09-01,battle,IC,0
2012-09-01,barral_bomb,IC,0
2012-09-01,shelling,IC,0
2012-09-01,chemical,IC,0
2012-09-01,massacre,RS,0
2012-09-01,air_strike,RS,0
2012-09-01,battle,RS,0
2012-09-01,barral_bomb,RS,0
2012-09-01,shelling,RS,1
2012-09-01,chemical,RS,0
2012-09-01,massacre,YPG,0
2012-09-01,air_strike,YPG,0
2012-09-01,battle,YPG,0
2012-09-01,barral_bomb,YPG,0
2012-09-01,shelling,YPG,0
2012-09-01,chemical,YPG,0
2012-09-01,massacre,HZB,0
2012-09-01,air_strike,HZB,0
2012-09-01,battle,HZB,0
2012-09-01,barral_bomb,HZB,0
2012-09-01,shelling,HZB,0
2012-09-01,chemical,HZB,0
2012-09-01,massacre,ASS,23
2012-09-01,air_strike,ASS,17
2012-09-01,battle,ASS,0
2012-09-01,barral_bomb,ASS,4
2012-09-01,shelling,ASS,39
2012-09-01,chemical,ASS,0
2012-10-01,massacre,IS,0
2012-10-01,air_strike,IS,0
2012-10-01,battle,IS,0
2012-10-01,barral_bomb,IS,0
2012-10-01,shelling,IS,0
2012-10-01,chemical,IS,0
2012-10-01,massacre,IC,0
2012-10-01,air_strike,IC,0
2012-10-01,battle,IC,0
2012-10-01,barral_bomb,IC,0
2012-10-01,shelling,IC,0
2012-10-01,chemical,IC,0
2012-10-01,massacre,RS,0
2012-10-01,air_strike,RS,1
2012-10-01,battle,RS,1
2012-10-01,barral_bomb,RS,1
2012-10-01,shelling,RS,2
2012-10-01,chemical,RS,0
2012-10-01,massacre,YPG,0
2012-10-01,air_strike,YPG,0
2012-10-01,battle,YPG,0
2012-10-01,barral_bomb,YPG,1
2012-10-01,shelling,YPG,1
2012-10-01,chemical,YPG,0
2012-10-01,massacre,HZB,0
2012-10-01,air_strike,HZB,0
2012-10-01,battle,HZB,0
2012-10-01,barral_bomb,HZB,0
2012-10-01,shelling,HZB,0
2012-10-01,chemical,HZB,0
2012-10-01,massacre,ASS,42
2012-10-01,air_strike,ASS,29
2012-10-01,battle,ASS,2
2012-10-01,barral_bomb,ASS,16
2012-10-01,shelling,ASS,45
2012-10-01,chemical,ASS,0
2012-11-01,massacre,IS,0
2012-11-01,air_strike,IS,0
2012-11-01,battle,IS,0
2012-11-01,barral_bomb,IS,0
2012-11-01,shelling,IS,0
2012-11-01,chemical,IS,0
2012-11-01,massacre,IC,0
2012-11-01,air_strike,IC,0
2012-11-01,battle,IC,0
2012-11-01,barral_bomb,IC,0
2012-11-01,shelling,IC,0
2012-11-01,chemical,IC,0
2012-11-01,massacre,RS,0
2012-11-01,air_strike,RS,1
2012-11-01,battle,RS,0
2012-11-01,barral_bomb,RS,0
2012-11-01,shelling,RS,0
2012-11-01,chemical,RS,0
2012-11-01,massacre,YPG,0
2012-11-01,air_strike,YPG,0
2012-11-01,battle,YPG,0
2012-11-01,barral_bomb,YPG,0
2012-11-01,shelling,YPG,1
2012-11-01,chemical,YPG,0
2012-11-01,massacre,HZB,0
2012-11-01,air_strike,HZB,0
2012-11-01,battle,HZB,0
2012-11-01,barral_bomb,HZB,0
2012-11-01,shelling,HZB,0
2012-11-01,chemical,HZB,0
2012-11-01,massacre,ASS,16
2012-11-01,air_strike,ASS,29
2012-11-01,battle,ASS,0
2012-11-01,barral_bomb,ASS,6
2012-11-01,shelling,ASS,45
