date,num,ac_num
2011-03-01,108,196
2011-04-01,489,685
2011-05-01,398,1083
2011-06-01,328,1411
2011-07-01,375,1786
2011-08-01,506,2292
2011-09-01,491,2783
2011-10-01,523,3306
2011-11-01,714,4020
2011-12-01,889,4909
2012-01-01,987,5896
2012-02-01,1712,7608
2012-03-01,1793,9401
2012-04-01,1672,11073
2012-05-01,1359,12432
2012-06-01,2314,14746
2012-07-01,4090,18836
2012-08-01,5835,24671
2012-09-01,5165,29836
2012-10-01,4767,34603
2012-11-01,4188,38791
2012-12-01,4610,43401
2013-01-01,4159,47560
2013-02-01,3984,51544
2013-03-01,4187,55731
2013-04-01,3788,59519
2013-05-01,3468,62987
2013-06-01,2928,65915
2013-07-01,2935,68850
2013-08-01,3918,72768
2013-09-01,2663,75431
2013-10-01,2682,78113
2013-11-01,2453,80566
2013-12-01,3130,83696
2014-01-01,3115,86811
2014-02-01,3138,89949
2014-03-01,2435,92384
2014-04-01,2848,95232
2014-05-01,2465,97697
2014-06-01,2212,99909
2014-07-01,1849,101758
2014-08-01,2016,103774
2014-09-01,2059,105833
2014-10-01,1640,107473
2014-11-01,1405,108878
2014-12-01,1558,110436
2015-01-01,1062,111498
2015-02-01,1226,112724
2015-03-01,1874,114598
2015-04-01,1617,116215
2015-05-01,1681,117896
2015-06-01,1680,119576
2015-07-01,1381,120957
2015-08-01,1567,122524
2015-09-01,815,123292
2015-10-01,1649,123430
2015-11-01,1666,0
2015-12-01,1842,0
2016-01-01,1583,0
2016-02-01,1337,0